,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2022/06/15 08:00:00+00,14.800000,59.600000,32.200000,61.600000,73.200000,120.200000,2,10.900000,123.200000,60.100000,80.300000,4,60.700000,94.700000,5.900000,,5.200000,17.200000,2.200000,7.300000,3,,10,1.900000,4.500000,7.800000,7.800000,8,13,10.800000,0.500000,2.600000,5.100000,3.500000,22.100000,5.300000,5.100000,6.700000,35.800000,12.300000,3972
2022/06/15 09:00:00+00,8.500000,41.500000,11.800000,44.500000,50.600000,97,1.500000,8.900000,117.100000,48.900000,58.400000,3,48.700000,74.900000,2.700000,,5.300000,10,1.900000,3.700000,1.700000,,6.400000,1.400000,3.300000,5.200000,5,4.400000,6.200000,7,0.500000,2.700000,3.400000,1.900000,14.800000,4,2.800000,3.700000,17.100000,7.800000,3973
2022/06/15 10:00:00+00,4.400000,23.400000,8.900000,39.400000,64.300000,74.800000,0.400000,3.900000,122,43.100000,37.300000,2,32.700000,52.100000,1.300000,,2.600000,7.900000,1.500000,2.600000,0.600000,,5.400000,1.300000,6.200000,3.500000,,1.800000,2.500000,4.100000,0.300000,2.500000,1.700000,1.500000,10.600000,2.400000,1.800000,2,20.300000,3.900000,3974
2022/06/15 11:00:00+00,3.200000,32.900000,9.400000,30,57.200000,57.400000,0.800000,2.900000,135.100000,45.700000,21.500000,1.700000,30.800000,45.800000,0.300000,,2.100000,9,0.700000,1.800000,0.300000,,7.600000,0.900000,1.500000,3.100000,,0.700000,1,3.200000,0.200000,1.400000,1.400000,1.200000,5.500000,1.500000,1.400000,0.600000,13.500000,1.900000,3975
2022/06/15 12:00:00+00,2,30.400000,6.300000,24.400000,64.300000,53.300000,1.600000,2.100000,117.800000,26.200000,49.600000,1.100000,21.600000,39,0.500000,,1.400000,5.100000,0.900000,1.500000,2.500000,,5,0.900000,1.400000,2.100000,,0,0.300000,2.600000,0.100000,1,1,1.100000,5.900000,1,0.800000,0.600000,14.100000,1.500000,3976
2022/06/15 13:00:00+00,1.600000,33.700000,4.600000,27,68.600000,47.200000,1.600000,1.200000,98.600000,30.700000,38.700000,0.700000,19.500000,45.400000,0.200000,,1.600000,4.600000,0.200000,0.900000,0.100000,,14.500000,1,1.100000,1.600000,,0.400000,0.100000,2.200000,0,0.500000,0.900000,1.100000,9.500000,0.900000,0.700000,0.400000,21.100000,0.500000,3977
2022/06/15 14:00:00+00,1.500000,29.700000,8,24.200000,91.400000,55.100000,1.900000,0.900000,55.800000,30.200000,40.900000,0.300000,27.900000,40.200000,0.500000,,1.800000,8.900000,0.400000,1,0,,3.900000,0.800000,1.300000,0.900000,,0.300000,0.300000,2.100000,0.100000,0.100000,0.900000,0.800000,14.100000,0.800000,0.800000,0.600000,5.300000,0.300000,3978
2022/06/15 15:00:00+00,1,24.800000,9.300000,24.500000,65.800000,34.200000,0.200000,1,61.100000,23.400000,36.800000,0.200000,21.200000,35.400000,0.200000,,1.800000,8.800000,0.200000,0.900000,0,,7.900000,1.500000,1.800000,1,,0,0.100000,1.800000,0,0.100000,1.100000,0.900000,9.900000,0.700000,1.100000,0.700000,9.700000,0.100000,3979
2022/06/15 16:00:00+00,1.200000,25.600000,6.700000,21,92.600000,45.700000,0.500000,0.800000,76.600000,23,30.500000,0.100000,24,45,0.700000,,1.400000,6.900000,0.600000,0.900000,0,,5.100000,1,1.600000,0.900000,,0.300000,0.100000,2,0.200000,0,0.800000,1,6.200000,0.700000,1,0.600000,9.600000,0,3980
2022/06/15 17:00:00+00,0.900000,31.700000,6.700000,33.200000,68.500000,27.800000,2.300000,0.700000,34.300000,26.500000,46.900000,0,11.600000,37.500000,0.600000,,1.400000,4.600000,0.600000,0.800000,0,,6.600000,0.600000,1.600000,0.800000,,0.800000,0.200000,1.400000,0.100000,0,0.800000,0.800000,6.300000,0.800000,0.800000,0.400000,6.500000,0,3981
2022/06/15 18:00:00+00,0.900000,23.200000,3.700000,28,66.800000,5.700000,1.400000,0.600000,42.800000,29.900000,35.600000,0,13.200000,30.600000,0.500000,,0.700000,5.500000,0.400000,1.200000,0,,4.500000,0.600000,1.300000,0.900000,,0,0,1.300000,0.100000,0,0.500000,0.500000,2.500000,0.800000,0.500000,0.200000,6.600000,0,3982
2022/06/15 19:00:00+00,0.400000,8.900000,4.600000,23,37.500000,10.600000,1.400000,0.500000,28.200000,18.200000,28.400000,0,8.900000,27.800000,0.200000,,0.500000,2.800000,0.200000,0.500000,0,,5,0.700000,1.200000,0.500000,,0,0,0.800000,0.100000,0.200000,0.400000,0.600000,1.900000,1.100000,0.300000,0,4.700000,0,3983
2022/06/15 20:00:00+00,0.300000,12.200000,3.400000,17.900000,55.700000,17.100000,1.600000,0.800000,54.900000,14.600000,24.500000,0,5.200000,20.100000,0,,0.100000,3.900000,0,0.100000,0,,1.300000,0.500000,1.200000,1,,0,0,0.900000,0.100000,0,0.200000,0.500000,1.200000,0.700000,0.100000,0,3,0,3984
2022/06/15 21:00:00+00,0.400000,13.400000,0.900000,12.300000,38.700000,22.300000,0.600000,0.600000,22.300000,11.500000,16.400000,0,3.500000,19,0,,0.200000,3.200000,0,0.200000,0,,0.800000,0.300000,1.100000,0.700000,,0,0,0.700000,0,0.100000,0.100000,0.400000,0.600000,0.800000,0.100000,0,3.800000,0,3985
2022/06/15 22:00:00+00,0.600000,11.800000,0.500000,16.900000,22.700000,24.400000,0,0.900000,16.900000,4.900000,28.500000,0,7.200000,17.900000,0.100000,,0.200000,0.600000,0,0.100000,0,,0.100000,0.600000,0.900000,0.800000,,0,0,0.800000,0.100000,0.100000,0.200000,0.800000,1.600000,0.600000,0.100000,0,12.400000,0,3986
2022/06/15 23:00:00+00,0.400000,7.200000,2.600000,17.200000,28.800000,17.600000,0,0.600000,28.400000,5.500000,22,0,8,23,0.100000,,0.200000,1.200000,0,0,0,,0.100000,0.700000,1.400000,0.900000,,0,0,0.400000,0,0,0.200000,0.700000,2.300000,0.400000,0.200000,0,4.400000,0,3987
2022/06/16 00:00:00+00,0.200000,5,0.400000,7.700000,23.800000,3.600000,0,0.500000,12.800000,5.800000,11.600000,0,4.800000,13,0,,0.200000,0.700000,0,0,0,,0,0.600000,1,0.700000,0,0,0,0.600000,0,0,0.100000,0,0.200000,0.400000,0.500000,0,1.900000,0,3988
2022/06/16 01:00:00+00,0.300000,1.200000,0.600000,5,43.900000,5.500000,0,0.600000,17.100000,4.400000,6.800000,0,1.600000,7,0,,0.600000,0.400000,0,0.100000,0,,0,0.600000,1.100000,0.800000,0.100000,0,0,0.100000,0.100000,0,0.100000,0.200000,0,0.300000,0.300000,0,1.400000,0,3989
2022/06/16 02:00:00+00,0.400000,6.300000,0.800000,2.300000,40.600000,12.400000,0,1.300000,23.200000,3.900000,6.800000,0,1.600000,3.400000,0,,1.100000,1.300000,0,0.100000,0,,0,0.600000,1.100000,0.600000,0,0,0,0,0,0.400000,0.300000,0.300000,0,0.300000,0.400000,0,1.400000,0,3990
2022/06/16 03:00:00+00,0.400000,6.800000,0.400000,2.600000,52.700000,11,0,1,35.100000,3.700000,18.300000,0,2.300000,3.400000,0,,1.600000,2.500000,0,0.100000,0,,0,0.600000,1.100000,1,0,0,0,0,0.100000,1.500000,0.200000,0.400000,0,0.300000,0.300000,0,1.400000,0,3991
2022/06/16 04:00:00+00,0.400000,10.100000,2.900000,5.600000,119.300000,21.400000,0.300000,0.900000,86.700000,27.300000,53.900000,0,1.700000,10.700000,0,,1.200000,3.200000,0,0.400000,0,,4.400000,0.900000,1.200000,0.700000,0.100000,0,0,0.100000,0,1.900000,0.400000,0.500000,0.100000,0.300000,0.500000,0,2.200000,0,3992
2022/06/16 05:00:00+00,1,22.500000,5.300000,20.700000,149,16.100000,2,5.500000,125,88.300000,61.400000,0,6.600000,31.100000,0.600000,,1.200000,7.500000,0.800000,2.100000,2.600000,,3.900000,1.200000,1.600000,1,0.600000,0,0.100000,1.100000,0.100000,0.800000,1,2,3.500000,0.600000,1.200000,1,17.700000,0,3993
2022/06/16 06:00:00+00,2.600000,31.100000,23.600000,34.600000,109,10.700000,4.900000,4,59.100000,89.200000,76.100000,0.300000,18,73.500000,2.600000,,0.900000,15.100000,4.400000,4.700000,3.200000,,4.700000,2.500000,4,1.900000,3.800000,2.200000,1.300000,4.500000,0.500000,1.800000,1.900000,4.700000,9.900000,2.300000,2.800000,7.500000,19.400000,2.100000,3994
2022/06/16 07:00:00+00,5.600000,29.800000,34.900000,39.300000,129.900000,40.900000,3.400000,3,68.700000,53,81.300000,0.400000,18.600000,63.800000,4.200000,,2.800000,19,9.200000,6,6.500000,,7.800000,3.200000,7.700000,2.700000,4.900000,7.400000,4.600000,6.400000,1.100000,1.100000,2.500000,5.300000,9.300000,3,3.600000,6.700000,9.500000,3.100000,3995
2022/06/16 08:00:00+00,5.200000,25.200000,22.400000,28.800000,79.200000,34.600000,1,2.800000,46.300000,60.700000,61.200000,1.300000,39.800000,84.200000,3.600000,,4.500000,19.700000,8,4.900000,1.100000,,,5,6.800000,3.200000,6,4.700000,5.200000,5.300000,1.100000,0.600000,2.200000,4.900000,6.800000,2.400000,3.600000,7.200000,11.700000,4.400000,3996
2022/06/16 09:00:00+00,5.300000,24.900000,21.300000,28.700000,85.900000,42.600000,2.700000,2.100000,54.800000,52.700000,67.300000,1.200000,33.700000,47.400000,2.300000,,3.600000,14,5,2.100000,0.300000,,,3.700000,3.800000,2.900000,4.600000,1.500000,2.800000,3.300000,0.900000,0.500000,1.300000,3.800000,12.400000,1.300000,2.400000,3.300000,13.700000,3.400000,3997
2022/06/16 10:00:00+00,2.400000,17,16.200000,31,61,54.900000,2.100000,1.500000,93.600000,45.700000,50.300000,1.100000,22.500000,40.200000,1.500000,,1.800000,11.600000,3,1.300000,0,,,1.900000,3.800000,2.100000,2.400000,0.600000,1.300000,1.800000,0.500000,0.200000,1.200000,3.500000,10.200000,1.100000,2.300000,2,10.700000,1.800000,3998
2022/06/16 11:00:00+00,1.300000,17.400000,9.800000,26.800000,62.400000,73.700000,2.100000,1.200000,120.100000,30.600000,28.800000,1.300000,41.400000,31.800000,0.700000,,1,7,1.300000,1.800000,0,,2.400000,1,2.500000,1.500000,,0.800000,0.300000,1.400000,0.200000,0.200000,1.300000,1.800000,4.700000,0.900000,1.900000,0.700000,9.700000,0.500000,3999
2022/06/16 12:00:00+00,1.700000,16.500000,5,34.600000,51.700000,79.100000,1.600000,1.100000,83.100000,26.600000,34.200000,0.400000,24.300000,31.700000,0.400000,,0.500000,6.100000,0.500000,0.600000,0,,3,0.700000,2.800000,1.400000,,0.400000,0,1.800000,0.100000,0.100000,0.800000,0.800000,11.200000,0.900000,1.600000,1,19,0.100000,4000
2022/06/16 13:00:00+00,1,21.400000,2,35.500000,60.400000,86.400000,0.700000,1.100000,69.600000,31.900000,29.400000,0.400000,33.700000,32.600000,0.500000,,0.600000,7.500000,0.200000,1.200000,0,,6.300000,0.600000,1.300000,1.200000,,0.200000,0.400000,2,0.100000,0.100000,0.600000,0.600000,4.600000,0.800000,1.200000,0.600000,25.600000,0.200000,4001
2022/06/16 14:00:00+00,1.100000,18.800000,3.300000,31.600000,47.400000,82.300000,0.700000,1,107.100000,35.400000,25.200000,0.300000,,33.400000,1.200000,,0.400000,8,0.300000,0.700000,0,,4.100000,0.700000,2.900000,1.500000,,0,0.300000,2.900000,0.100000,0.300000,0.600000,0.600000,7.800000,0.800000,1.200000,0.200000,24.800000,0.100000,4002
2022/06/16 15:00:00+00,1.200000,21.800000,2.100000,32.100000,48.100000,88.300000,0.900000,1,126.100000,28.500000,35.300000,0.200000,16.700000,56.900000,0.600000,,0.500000,7,0.100000,1.300000,0,,6.600000,0.700000,2.200000,1.500000,,0,0,1.800000,0.100000,0.300000,1.100000,1.300000,4.300000,0.900000,1.200000,0.400000,17.100000,0.100000,4003
2022/06/16 16:00:00+00,1.100000,31.600000,9.600000,33,70.600000,56.500000,0.700000,0.900000,131.200000,30.300000,51.800000,0.100000,24.500000,38,0.300000,,0.400000,9,0.200000,1.200000,0,,7.300000,0.500000,2.300000,1.200000,,0.700000,0,2.100000,0,0.300000,0.900000,0.300000,3.600000,0.900000,1.100000,0.300000,25.300000,0.100000,4004
2022/06/16 17:00:00+00,0.800000,26.600000,3.400000,34.400000,61.500000,76.800000,0,0.700000,100,32.300000,34,0,27.800000,46.100000,0.400000,,0.500000,6,0.100000,1,0,,10.100000,0.700000,1.300000,1.100000,,0.200000,0.200000,1.800000,0,0.200000,0.700000,1.500000,8.600000,1.400000,0.700000,0.400000,20.900000,0,4005
2022/06/16 18:00:00+00,0.900000,26.500000,2.400000,34.100000,45.600000,127,0.200000,0.600000,121.200000,37.100000,40.400000,0,22.900000,37.900000,0.100000,,0.300000,4.400000,0,0.600000,0,,9.700000,0.300000,1.500000,0.700000,,0,0.200000,1.200000,0.100000,0.100000,0.600000,0.500000,7.100000,4.900000,1,0,10.800000,0,4006
2022/06/16 19:00:00+00,0.600000,16.900000,2,27.100000,48.100000,107.200000,0,0.200000,108.500000,21.300000,33.800000,0,23.700000,32,0.200000,,0.500000,1.100000,0,0.500000,0,,6.800000,0.500000,1.900000,0.800000,,0,0,0.700000,0.300000,0.200000,0.300000,0.700000,2.200000,3.200000,0.900000,0,4.600000,0,4007
2022/06/16 20:00:00+00,0.300000,15.200000,1.800000,19.900000,82.200000,69.600000,0.100000,0.800000,61,20.300000,34.300000,0,10.400000,22.700000,0.100000,,0.300000,0.500000,0,0.400000,0,,2.200000,0.700000,1,0.800000,,0,0,0.700000,0.100000,0.200000,0.200000,0.700000,1.400000,1.500000,0.300000,0,5.800000,0,4008
2022/06/16 21:00:00+00,0.400000,14.400000,3,15.900000,102.600000,146.100000,0,0.800000,51.400000,12,27.300000,0,15.400000,22.800000,0,,0,0.300000,0,0.400000,0,,0.300000,0.800000,1.100000,0.400000,0,0,0,0.200000,0.100000,0,0,0.500000,1.700000,0.400000,0.300000,0,24.400000,0,4009
2022/06/16 22:00:00+00,0.600000,23,3.100000,19.600000,84.100000,116.300000,0,1,69.700000,11.400000,29,0,18,26.300000,1.600000,,0.100000,0.200000,0,0.200000,0,,0.300000,0.500000,1,0.800000,0,0,0,0.500000,0.100000,0.100000,0.200000,0.100000,10.300000,0.600000,0.300000,0,31.600000,0,4010
2022/06/16 23:00:00+00,0.600000,18.800000,3.400000,17.400000,52.800000,120.400000,0.300000,1.200000,170.400000,9,34.600000,0,26,34.200000,0,,0.100000,2,0,0.500000,0,,0.500000,0.700000,1.200000,0.600000,0.100000,0,0,0.500000,0,0,0.200000,0.200000,4.400000,0.200000,0.400000,0,35.300000,0,4011
2022/06/17 00:00:00+00,0.400000,10.200000,1.400000,11.100000,47.100000,50.900000,0,0.800000,121.500000,7.400000,24.200000,0,11.500000,24,0.100000,,0,0.900000,0,0.100000,0,,0.600000,0.900000,1.300000,0.500000,0.400000,0,0,0.300000,0.100000,0.200000,0.100000,0.400000,6.400000,0.400000,0.300000,0,22.300000,0,4012
2022/06/17 01:00:00+00,0.600000,12.900000,0.100000,6.800000,46.800000,47.500000,0,1.700000,129.400000,4.800000,15.900000,0,4.400000,18,0.100000,,0.100000,1.300000,0,0.100000,0,,0.400000,0.900000,1.300000,0.500000,0.300000,0,0,0,0,0.100000,0.300000,0.400000,5,0.600000,0.400000,0,13.300000,0,4013
2022/06/17 02:00:00+00,0.500000,4.900000,0,4.900000,72.400000,64.400000,0,0.800000,111.600000,6.300000,19.200000,0,7.500000,9.600000,0.300000,,0.200000,2.300000,0,0.200000,0,,0.500000,0.800000,1.700000,0.900000,1.100000,0,0,0,0,0.200000,0.400000,0.800000,1.100000,0.500000,0.300000,0,8.500000,0,4014
2022/06/17 03:00:00+00,0.500000,11.500000,1.300000,3.500000,112.900000,44.900000,1.200000,1,62.600000,11,29.600000,0,3.800000,11.300000,0.500000,,0,1,0.100000,0.200000,0,,0.500000,0.800000,1.300000,1.300000,0.100000,0,0,0,0.100000,0.200000,0.200000,0.400000,2.400000,0.500000,0.200000,0,5,0,4015
2022/06/17 04:00:00+00,0.400000,17.900000,2.300000,6.400000,249.500000,106.600000,0.200000,1.600000,202.200000,27.200000,42.400000,0,3.100000,13,0,,0.100000,0.600000,0.100000,0.500000,,,1.100000,0.800000,1.800000,1,0.600000,0,0,0,0.100000,0.100000,0.500000,0.300000,7.700000,0.500000,0.500000,0,17.400000,0,4016
2022/06/17 05:00:00+00,1,51.600000,9.800000,13.500000,254.800000,128.300000,0.300000,7.300000,,79.700000,61.300000,2.300000,12.800000,33.500000,0.100000,,0.300000,3.800000,0.600000,4.600000,6.300000,,4.300000,1.200000,2.600000,7.200000,0.300000,0.400000,0.300000,0,0.200000,0.200000,3.600000,1.400000,29,1.200000,0.800000,0.300000,37.800000,0,4017
2022/06/17 06:00:00+00,3.300000,108.300000,16,46.800000,190.100000,202.100000,10.900000,18.200000,63.200000,87.600000,94.500000,14.100000,69.400000,58,2.100000,,0.200000,8.800000,2.500000,20.700000,15.100000,,9.500000,3.100000,3.700000,6,6,2.800000,2.400000,0.500000,0.600000,0.500000,16.100000,4.100000,34.100000,2.300000,5.400000,1.600000,75.500000,1.700000,4018
2022/06/17 07:00:00+00,9.700000,53.900000,22.300000,59.800000,111.200000,144.500000,20.200000,9.200000,78.600000,67.700000,109.400000,6.700000,60.700000,60.300000,12.700000,,0.600000,23.900000,5.400000,32.700000,11.100000,,16.200000,4.500000,4.100000,5,2.600000,4.300000,5.300000,2.200000,1.400000,1,40,8.200000,69.300000,3.100000,6.800000,2.900000,64.500000,6.100000,4019
2022/06/17 08:00:00+00,8,40.700000,23.100000,55.900000,107.800000,131.600000,10,5.300000,114,75,82.300000,9.400000,84.800000,74.600000,5.600000,,2.800000,14.600000,3.200000,8.800000,9.500000,,9,2,4.500000,6,4.100000,6.700000,3,4.400000,0.400000,0.700000,9.300000,5.600000,70.200000,3.200000,5.100000,4.600000,63.200000,3.300000,4020
2022/06/17 09:00:00+00,4.500000,40.200000,16.100000,57.900000,98.800000,70.800000,4.200000,5.500000,90.700000,65.700000,75.600000,2.500000,,48.400000,5,,2.700000,13.700000,3.400000,5.600000,4.300000,,3,1.800000,3.100000,2.800000,2.200000,6.500000,4.100000,3.900000,0.200000,0.400000,8,3.300000,56.700000,1.400000,2.300000,5.300000,41.400000,1.100000,4021
2022/06/17 10:00:00+00,2.800000,44,12.300000,46.400000,83.100000,97.700000,3.700000,3,67.500000,50.500000,68.200000,1.300000,79.500000,34.900000,1.800000,,1.400000,17.300000,1.100000,3,1.100000,0.900000,1.500000,1.500000,2,2.600000,0.900000,2.100000,1.700000,2.800000,0.100000,,2.900000,1.900000,46,0.600000,1.500000,1.600000,33.400000,0.100000,4022
2022/06/17 11:00:00+00,2.500000,40.600000,36.200000,48.700000,82.800000,101,1.800000,3.900000,82.300000,45.300000,63.700000,0.200000,54.800000,31.700000,0.700000,,1.300000,12.100000,1.300000,2.500000,0.100000,0.300000,1.400000,1,1.400000,2.300000,1.100000,1.800000,0.900000,2.800000,0.100000,0.100000,2.600000,0.700000,54.500000,0.400000,1.300000,0.200000,33.700000,0,4023
2022/06/17 12:00:00+00,2,24.800000,13.800000,39.500000,78.400000,76.400000,1.100000,2.800000,61.400000,44.600000,47.400000,0.500000,47.600000,26.900000,0.700000,,0.800000,9.400000,0.900000,1.700000,0.200000,0.200000,3.900000,1.300000,1.300000,2.300000,0.600000,0.300000,0.200000,2.400000,0.100000,0.200000,2.700000,0.400000,41,0.600000,0.700000,0.700000,21.500000,0,4024
2022/06/17 13:00:00+00,1.200000,40.900000,5.400000,37.900000,92.600000,103.700000,1.800000,2.300000,78,38.100000,57.400000,0.300000,25.500000,40.600000,0.700000,,0.400000,10.100000,1.600000,1.300000,0.300000,0.200000,2.200000,0.800000,1.400000,1.700000,0.300000,0.200000,0.900000,1.400000,0.100000,0,1.500000,1.100000,42.300000,0.600000,1,0.500000,28.300000,0,4025
2022/06/17 14:00:00+00,1.200000,23.400000,5.300000,30.500000,84.400000,93.800000,1.300000,2.200000,78.300000,27.900000,59.500000,0.300000,21.300000,34.100000,0.500000,,0.900000,12.800000,0.700000,0.900000,0,0.200000,1.400000,1,1.200000,0.900000,0.200000,0,0,1.100000,0.100000,0,1.100000,0.300000,47.800000,0.500000,1.400000,0.200000,42.600000,0,4026
2022/06/17 15:00:00+00,1.100000,56.900000,5.700000,29.600000,103.900000,74.200000,0.500000,1.600000,75.900000,33.100000,53.100000,0,36,43.600000,0.400000,,0.400000,10.200000,0.500000,0.800000,0,0.100000,2.500000,0.600000,1.400000,1.200000,0.200000,0.500000,0,1.200000,0,0.200000,1.300000,0.200000,45,0.800000,0.800000,0,65.500000,0,4027
2022/06/17 16:00:00+00,1.300000,42.500000,12.100000,35.700000,114.900000,53.900000,1.100000,1.600000,53.500000,19.400000,47.700000,0,18.400000,33.800000,0.300000,,0.600000,12.800000,0.600000,1.200000,0,0.100000,4,0.600000,1.300000,0.700000,0.100000,0.200000,0,1.500000,0,0.100000,1.100000,0.300000,33.200000,0.600000,1.100000,0,39,0,4028
2022/06/17 17:00:00+00,1.100000,55.900000,2.800000,29.400000,86.700000,81.100000,0.800000,1.500000,50,19.500000,44.200000,0,18.500000,22.700000,0.300000,,0.500000,11.500000,0.500000,0.800000,0,0.100000,1.500000,0.700000,1.500000,0.900000,0.100000,0.200000,0,1.100000,0.300000,0.300000,0.900000,0.200000,35.100000,0.800000,1.100000,0,35,0,4029
2022/06/17 18:00:00+00,1.100000,34,0.300000,38.900000,97.400000,93.600000,1.100000,1.500000,109.600000,29.600000,60.100000,0,20.500000,35.700000,0.200000,,0.700000,10.500000,0.400000,0.600000,0,0.200000,1.900000,0.600000,1.400000,0.900000,0.100000,0,0,1,0.800000,0.400000,0.600000,0.700000,35,0.500000,1,0,16.800000,0,4030
2022/06/17 19:00:00+00,1.200000,13.700000,1.200000,32.700000,117.100000,88.900000,0.600000,0.900000,147.700000,41.300000,39.200000,0,31.600000,31.100000,0,,0.300000,12.100000,0.200000,0.300000,0,0.200000,0.700000,0.600000,1.100000,0.700000,0.100000,0,0,0.600000,0.700000,1,0.400000,0.500000,24.700000,0.400000,1.200000,0,6.600000,0,4031
2022/06/17 20:00:00+00,0.500000,38.100000,0.800000,66.300000,82,126.700000,0.800000,0.700000,245,29,65.900000,0,26.900000,60.600000,0,,0.200000,12.800000,0.100000,0.100000,0,0.100000,1.300000,0.800000,1.500000,1.500000,0,0,0,0.500000,0.400000,0.800000,0.200000,0.500000,30.800000,0.400000,1.800000,0,30.200000,0,4032
2022/06/17 21:00:00+00,1.200000,31,7.400000,32,101.600000,78,1.600000,1,178.500000,46.400000,75.900000,0,11.700000,111.500000,0,,0.200000,42.300000,0.200000,0.600000,0,0.100000,4.200000,1,1.700000,4.600000,3.900000,0,0,0.100000,0.200000,0.900000,0.100000,0.400000,28,1.200000,3.100000,0,42.400000,0,4033
2022/06/17 22:00:00+00,0.700000,26,20.300000,45.900000,93.700000,109.500000,4.100000,1.900000,217.600000,61.200000,110.200000,0,16,76.400000,0.100000,,0,22.900000,0,0.600000,4.800000,0.100000,2.100000,1.300000,1.500000,5.800000,0,0,0,0.100000,0.100000,0.500000,0.700000,0.800000,45,0.300000,2,0,45.200000,0,4034
2022/06/17 23:00:00+00,1.300000,18.600000,43.900000,36.200000,87.500000,40.700000,11.800000,1.800000,237.700000,70.400000,85.200000,0,57,57.900000,0,,0.700000,90.500000,0,11.100000,12.700000,0.800000,0.600000,1.100000,1.600000,3.900000,0,0,0,0,0.100000,0.600000,8,1.900000,38.600000,0.700000,1.300000,0,31.400000,0,4035
2022/06/18 00:00:00+00,1.300000,10.900000,56.300000,47.300000,66.700000,71.800000,6.800000,3,222.500000,62.800000,81.300000,0,39.300000,39.700000,0,,0.200000,47.400000,0.100000,45.800000,16.100000,0.200000,2.200000,0.900000,2.300000,2.900000,0,0,0.100000,0,0.100000,1,22.700000,4.300000,61.100000,0.300000,1,0,30,0,4036
2022/06/18 01:00:00+00,1.300000,7.300000,31.200000,21.800000,50.100000,52.200000,2.700000,2.200000,221.100000,57.100000,54.700000,0,32.600000,48.600000,0.100000,,0.100000,7.300000,0.100000,9.900000,4.800000,0.200000,1.800000,0.900000,2.400000,3,0.300000,0,0,0,0.100000,0.200000,28.700000,6,31,0.100000,1,0,31.100000,0,4037
2022/06/18 02:00:00+00,0.900000,10.500000,7.300000,17.900000,61.700000,50.400000,1.800000,2,141.600000,70.600000,38.600000,0,18.800000,19.500000,0,,0.100000,0.700000,0.200000,26.800000,5.600000,0.100000,1,1,3.600000,1,1.400000,0,0.100000,0,0.100000,0.100000,38.700000,1.200000,17,0.300000,0.500000,0,12.300000,0,4038
2022/06/18 03:00:00+00,0.800000,8.700000,2,6.500000,110,73.100000,2,2,130,68,45,0,10.900000,24.200000,0,,0,0.800000,0.200000,36.600000,5.300000,0.200000,0.900000,0.900000,3.400000,0.900000,2.100000,0,0,0,0,0.100000,16.100000,1.200000,15.800000,0.100000,0.500000,1.100000,13.500000,0,4039
2022/06/18 04:00:00+00,1.700000,8.700000,6.300000,11.700000,123.500000,108,2.600000,1.900000,180.200000,90.400000,58.800000,0,5.900000,32.100000,0,,0.100000,1.100000,0.300000,22.600000,6.200000,0.400000,1.100000,0.800000,2.800000,0.900000,0.100000,0,0.900000,0,0.300000,0.600000,14.700000,1.100000,14.400000,0.200000,0.800000,5.900000,18.100000,0,4040
2022/06/18 05:00:00+00,3.400000,28.700000,6,16.600000,153.100000,138.500000,4.700000,2.200000,157.600000,119,85.600000,0.400000,12.500000,30.800000,0.100000,,0,2.300000,1.200000,24.600000,10.500000,0.600000,2.100000,1.300000,3.300000,1.100000,0.200000,1.100000,1.800000,0.300000,0.100000,0.400000,16.200000,3.600000,23.500000,0.300000,1.700000,5.700000,29.800000,0.100000,4041
2022/06/18 06:00:00+00,4.600000,34.400000,8.600000,22.500000,130,127,8.700000,4.600000,87.600000,77.300000,86.500000,5.700000,17.900000,27.600000,0.400000,,0.100000,8.500000,3.100000,21.900000,11.900000,1.500000,4,1.900000,5.200000,3.400000,1,4.600000,3.600000,2,0.200000,0.300000,17.100000,5.100000,40.600000,0.400000,3.600000,7,27,1.900000,4042
2022/06/18 07:00:00+00,7.100000,43.700000,14.600000,27.200000,124.400000,119.500000,8.900000,3.900000,53.900000,66.900000,100.300000,4.300000,53.900000,36.900000,1,,1.500000,10.600000,2.800000,26,5.300000,1.300000,11.500000,2,4,3.900000,2.600000,5.300000,4.500000,3.600000,0.500000,0.900000,17.400000,4.300000,31.100000,0.600000,3.900000,3.500000,19.900000,2,4043
2022/06/18 08:00:00+00,5.400000,41.500000,16,26.400000,109.800000,105.600000,6.900000,3.600000,73.800000,35.700000,67.800000,0.600000,54.700000,38.400000,0.700000,,2.400000,10.900000,1.800000,15.200000,5,3,4.900000,1.200000,3,3.400000,1.600000,3,4.500000,4.100000,0.400000,1,10.300000,4.100000,37.100000,0.900000,3.600000,3.200000,18.400000,2.400000,4044
