,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2023/02/12 17:00:00+00,1.100000,76.800000,,31.700000,99.500000,107.100000,1,0.400000,62,52.500000,61.800000,1.600000,21.700000,49.100000,2.400000,1.600000,0.500000,12.100000,1.200000,3.400000,0.800000,0.600000,7.800000,0.800000,3.400000,2.500000,0.900000,2.200000,1.300000,3.100000,0.400000,0.400000,1.200000,2.700000,17.600000,0.900000,4.800000,1,41.400000,1.200000,1029
2023/02/12 18:00:00+00,1.100000,134.200000,,38.500000,287.400000,194.700000,5.300000,3.500000,155.800000,87.700000,87.400000,8.200000,37.700000,67.800000,34.700000,1.600000,0.400000,4.800000,1,8.200000,3,6.400000,107.100000,9,9.700000,4.200000,1.300000,2.800000,0.700000,3.400000,0.100000,0.200000,3.800000,7.500000,19.600000,2.200000,6.900000,28,53.900000,6.100000,1030
2023/02/12 19:00:00+00,2.100000,157.700000,,41.700000,303.800000,167.300000,13.700000,17.500000,222.200000,108.500000,120.800000,43.400000,39.900000,60.500000,106.200000,4.200000,0.700000,3.500000,2,16.700000,4.500000,35.600000,127.200000,11.800000,33.200000,16.200000,4.200000,5.900000,2.600000,17,0.100000,0.400000,15.800000,28.500000,23.100000,11.700000,9.800000,52.600000,75.100000,26.200000,1031
2023/02/12 20:00:00+00,1.500000,104.100000,,31.900000,191.200000,133,5.200000,11,127.500000,108.800000,59.800000,20.100000,13.200000,42.700000,5.800000,7.700000,0.100000,3.500000,4,13.400000,1.800000,8.600000,109.100000,1.900000,15.200000,14.100000,1.900000,7,6.900000,10.200000,0,0.800000,12.100000,6,23.200000,58.400000,6.700000,82.700000,76.800000,18.400000,1032
2023/02/12 21:00:00+00,1.300000,87.700000,,18.600000,146.200000,136.600000,6.100000,11.400000,36.900000,121.900000,60.900000,50,27.600000,46.700000,7.600000,1.400000,0.100000,6.500000,1.700000,21.200000,8.100000,7.800000,39.100000,2.700000,9.200000,4.300000,1.400000,4.200000,5.200000,6.100000,0.100000,0.500000,18.300000,11.500000,14,61.200000,6.600000,21.900000,99.200000,3.500000,1033
2023/02/12 22:00:00+00,4.500000,71,,24.500000,81.600000,123.900000,3.600000,22.100000,52.100000,94.800000,34.400000,27.800000,22.200000,30.900000,21,8,0.200000,3.600000,1,13.100000,2.600000,5.700000,43.300000,2.400000,3.200000,12.100000,1.500000,3.300000,2,19,0,0.500000,16.200000,23.500000,16.400000,56.200000,29,5.400000,86.900000,1.500000,1034
2023/02/12 23:00:00+00,6.100000,69.900000,,24.300000,65,119.200000,3.600000,16.500000,77.200000,70.300000,34.600000,20.300000,22.300000,19.100000,19.900000,6,0.100000,3.500000,1,14.300000,2.700000,5.700000,33.500000,2.900000,2.200000,12.200000,4.400000,3.800000,0.900000,20,0,0.700000,17.100000,15.700000,24.800000,26.400000,33.600000,5.600000,60.500000,9.500000,1035
2023/02/13 00:00:00+00,3,65.900000,,16.300000,91.500000,86.300000,14.600000,39.600000,91.100000,55.700000,34.300000,23.500000,20.500000,21.900000,9.500000,6.900000,0.200000,4.400000,1.300000,16.100000,2,6.800000,40.100000,3.400000,10.300000,19,1.100000,4.100000,1.100000,23.400000,0,0.900000,6.300000,8.700000,12,30.300000,24.800000,2,82.700000,41.200000,1036
2023/02/13 01:00:00+00,4.300000,46.900000,,24.700000,108.900000,120.300000,20.900000,36.300000,107.500000,28.600000,24,32,12.500000,52.900000,7.900000,1.300000,0.200000,28.200000,1.300000,35.500000,0,6.900000,27.900000,4.800000,13.200000,26.500000,2.800000,2.100000,0.800000,37.900000,0,0.700000,6.400000,21.900000,25.900000,54.100000,14.400000,1.600000,64.300000,35.400000,1037
2023/02/13 02:00:00+00,8.900000,24.800000,,27.500000,97,113.800000,22.200000,24.700000,140.200000,27.200000,26.200000,38,19.900000,16.400000,9.100000,1.400000,0.400000,36.800000,1.400000,16.600000,0.500000,6.100000,31.300000,4.500000,13.500000,10.900000,28.800000,3.400000,1.100000,23.400000,0,0.700000,2.200000,42.800000,25.600000,28.900000,17,4.600000,60.900000,21.800000,1038
2023/02/13 03:00:00+00,1.200000,22.400000,,11,144.100000,92.400000,7.700000,25.500000,88.600000,41,16.200000,18.800000,9.300000,5.700000,17.600000,15.100000,0.400000,27.700000,1.300000,7.200000,0.100000,7.100000,29.100000,3,30,20.500000,17.900000,3.200000,0.900000,28.200000,0,0.600000,4.900000,17.800000,13.300000,23.600000,9,4.700000,52.700000,19.200000,1039
2023/02/13 04:00:00+00,1.300000,29.700000,,23.400000,195.400000,147.300000,2.200000,32.500000,156.800000,37.400000,36.400000,17.400000,18.400000,16,34.800000,15,0.200000,22.600000,3.200000,4.800000,0.600000,9.800000,26.400000,5,18.400000,26.200000,2.700000,2,1.200000,38.700000,0.100000,0.900000,5.500000,18.700000,23.900000,20.700000,24.100000,11.700000,56.700000,17.800000,1040
2023/02/13 05:00:00+00,8.600000,74,,38.900000,333.700000,208.400000,3.900000,28.200000,263.100000,78.200000,37.700000,48,9.600000,30.500000,49.600000,20.900000,0.400000,23.500000,8.600000,19.800000,7.800000,11.600000,34.300000,9.600000,39.600000,46.100000,1.600000,7.100000,4.800000,39.500000,0.500000,1,12.900000,30.800000,32.700000,12.500000,25.900000,12,73,22.200000,1041
2023/02/13 06:00:00+00,1.700000,86.800000,,46.200000,491.600000,296.800000,16.900000,31.400000,352.800000,178.600000,88.400000,101.600000,28.100000,41.600000,73.700000,37.600000,0.300000,36.200000,4.600000,45.800000,28.500000,22.500000,42.200000,23.600000,54.900000,32.100000,1.800000,16.700000,13.800000,65.400000,0.100000,0.700000,25.500000,65.100000,44.300000,39.600000,59,60.500000,160.400000,17.500000,1042
2023/02/13 07:00:00+00,7.500000,88,,128.700000,641.900000,475.300000,151.300000,69.200000,236.100000,256.400000,155.300000,73.300000,46.700000,114.200000,75.100000,80.100000,0.400000,68.200000,10.700000,99.400000,77.200000,46.300000,65.800000,75,84.100000,73.100000,40.700000,18.300000,25.500000,123.100000,4,1.200000,61.900000,87.400000,104.600000,65.600000,115,100.200000,133.400000,62.400000,1043
2023/02/13 08:00:00+00,104,235,,175,423.900000,323.300000,146.300000,99.900000,266.800000,224.800000,148.600000,111.400000,99.800000,138.800000,177.400000,128.600000,5.800000,133.300000,35.500000,130,93.400000,91.800000,78.700000,74.300000,106.900000,115.100000,41.100000,69.500000,45.500000,116.300000,11.600000,1.900000,114.100000,69.500000,134.900000,90.200000,141.300000,97.300000,161.300000,136.900000,1044
2023/02/13 09:00:00+00,32.600000,168.400000,,114.500000,194.100000,265.700000,57.600000,126.300000,245.100000,235.300000,115.200000,170.900000,58.500000,103.800000,192.300000,148.900000,6.400000,60.200000,59.900000,110.900000,109.700000,123.700000,52.300000,70.200000,100.900000,96.700000,29.700000,53.400000,39.800000,126.400000,7,5.900000,114.900000,65.500000,102,50.900000,68.100000,92,212.200000,57.700000,1045
2023/02/13 10:00:00+00,36.400000,136.100000,,102.100000,153.400000,258.500000,53.200000,107.300000,115.500000,201.200000,127.100000,63,94.700000,82.600000,95.500000,172.100000,21.300000,59.600000,49.400000,106,64.800000,15.600000,85.300000,22.400000,63.400000,35.600000,28.500000,43.600000,49.200000,71.100000,3,6.600000,89.100000,50.800000,96.700000,15.600000,46.200000,34.400000,197.400000,39,1046
2023/02/13 11:00:00+00,42.400000,100.600000,,104.400000,144.400000,164.100000,73.800000,56.800000,94.900000,170.500000,146.100000,34.700000,69.100000,58.900000,14.800000,66.600000,27.500000,70.900000,24.100000,111.800000,37,3.600000,94.200000,21.300000,,33.600000,30.500000,41.900000,37.100000,,2.100000,8,92,18.900000,121.300000,18.900000,36.200000,26.500000,141.300000,36.200000,1047
2023/02/13 12:00:00+00,27.500000,63.600000,,87.400000,146.600000,107.700000,53.900000,26.800000,92.500000,75.900000,101.500000,27.400000,53.200000,43.500000,4.300000,33.700000,23.600000,57.100000,18,42.300000,25.400000,4.300000,79.900000,12.100000,,31.800000,28.800000,27.600000,27.800000,24.800000,1.300000,11.400000,33.800000,9.800000,80.400000,14.700000,16.800000,15.800000,92.800000,21.500000,1048
2023/02/13 13:00:00+00,19.800000,82.300000,,54.900000,76.100000,91.800000,25.200000,8.300000,86.800000,58.300000,71.700000,9.800000,49.900000,39.300000,4.300000,29.900000,20.400000,37,14.300000,28.300000,11.700000,3.100000,55.300000,7.600000,9.800000,25.900000,17.500000,22.500000,16.700000,16.600000,0.800000,10,22.300000,5.300000,76,14.800000,6.500000,12.300000,48.100000,23.500000,1049
2023/02/13 14:00:00+00,17.900000,48,,61.200000,61.500000,129.300000,28.800000,6.500000,101.400000,51.700000,71.600000,6,43,38.100000,4.500000,25.700000,14.300000,33.200000,8.200000,21.800000,8.600000,2.900000,24.800000,4.100000,10.200000,22.300000,11.300000,10.700000,13.600000,13.800000,0.500000,1.700000,13.700000,3.800000,59.400000,19.300000,5.400000,10.600000,59.900000,19.900000,1050
2023/02/13 15:00:00+00,10.700000,46.200000,,64.700000,93.300000,109.900000,22.700000,5.800000,76.100000,,90.800000,4.800000,51.500000,30.500000,2.900000,17.400000,11.400000,32.500000,4.600000,15.100000,6.600000,1.100000,24.300000,2.100000,13.700000,14.200000,8.900000,8.200000,8.400000,9.100000,0.200000,1.200000,8.400000,2.700000,70.500000,10.200000,5.500000,6.600000,55.200000,16.500000,1051
2023/02/13 16:00:00+00,5.700000,82.500000,,66.500000,106.500000,106.900000,22.700000,6.800000,86.600000,68.200000,87.600000,3.400000,44.400000,33.800000,3.100000,19.300000,10.600000,34,4.500000,9.700000,4.300000,0.800000,26.600000,2.200000,5.400000,12.700000,7.300000,8.600000,4.900000,8.200000,0.400000,0.500000,5.500000,2.400000,66.300000,3.700000,5.700000,7.300000,49.800000,8.600000,1052
2023/02/13 17:00:00+00,7.300000,124.900000,,77.400000,106.300000,164.500000,18.200000,8.500000,74.800000,97.200000,113,4.400000,60.100000,69.400000,3.500000,16.800000,6.400000,48.900000,4.200000,9.700000,3.200000,1.400000,41.500000,6,5.100000,18.900000,5,8.200000,4.500000,6.800000,0.100000,0.500000,5.400000,3.700000,80.400000,2.900000,4,4.700000,74.300000,4.400000,1053
2023/02/13 18:00:00+00,6.400000,216.100000,,84.900000,423.100000,231.400000,25.700000,18.600000,94.800000,130.800000,121.700000,26.400000,58.600000,92.500000,4.700000,12.300000,2.300000,42.300000,15.600000,28.400000,4.200000,19.900000,79.600000,3.200000,19.300000,24.800000,1.600000,12.800000,6.500000,13.100000,0,0.700000,23.400000,12,81.400000,5.700000,12.200000,10.700000,101.200000,4,1054
2023/02/13 19:00:00+00,22.900000,185,,92.900000,369.600000,220.800000,87.200000,20.700000,230.500000,130.400000,170.900000,30.900000,75.800000,110.700000,8.100000,7.400000,0.100000,54.500000,39.400000,39.400000,18.100000,88.400000,153.100000,17.900000,27.700000,37.100000,7.500000,23.700000,14,21,0,0.700000,43.100000,57.100000,93.100000,13.300000,26.900000,30.800000,111.300000,24.100000,1055
2023/02/13 20:00:00+00,25.200000,161.700000,,72.600000,303.400000,294.600000,94.800000,62.400000,326.300000,161.900000,115.200000,90.300000,81.700000,176.300000,3.800000,20.300000,2,158.300000,20.100000,141.600000,84.400000,93,188.100000,27.700000,48.700000,80.100000,14.100000,37,23.300000,28.100000,0,1.100000,102.400000,122.900000,87.500000,77.500000,18.900000,45.100000,144.400000,119.400000,1056
2023/02/13 21:00:00+00,52.700000,114.600000,,89.500000,243.500000,225.300000,152.100000,59.700000,272,285.100000,122.300000,94.800000,70.500000,250.100000,3.200000,62.500000,0.300000,178.200000,21.700000,232.600000,89.100000,58.900000,119.500000,5,60.700000,133.200000,110.200000,32.700000,19.100000,21,0.100000,0.700000,162,100.600000,93.500000,87,24.500000,49.600000,107.200000,106.200000,1057
2023/02/13 22:00:00+00,33.200000,69.100000,,72,188.500000,183.800000,127.300000,43.900000,158.100000,331.400000,135.300000,77.600000,44.900000,157.600000,30.900000,37.700000,0.200000,134.400000,51.300000,247.400000,96,17.600000,82.700000,19.100000,66.900000,119.800000,60,50.500000,21.400000,33.200000,0,0.400000,174.900000,42.500000,86.800000,74.500000,17.600000,24.100000,83.900000,89.300000,1058
2023/02/13 23:00:00+00,14.200000,62.500000,,53,120.100000,237.200000,109.400000,57.600000,131.200000,330.200000,123.500000,80.600000,55.300000,93.500000,17.900000,22.100000,0.300000,124,138.500000,241.500000,84.200000,19.100000,37.900000,15.300000,33.900000,86.900000,23.200000,53.400000,101.500000,23.800000,0,0.600000,166.500000,51.600000,82.400000,52.600000,10.800000,46.300000,91.700000,85,1059
2023/02/14 00:00:00+00,34.300000,83.100000,,62.200000,106.700000,191.700000,115.400000,51.500000,131.400000,226.800000,136.700000,82.200000,58.800000,100.200000,9.600000,8.700000,0.200000,110.600000,108.700000,209.500000,64.600000,31.600000,23.400000,17.500000,28.600000,124.900000,22.900000,55.300000,75.800000,24.600000,0,0.600000,143.700000,50.100000,70.600000,50.900000,7.100000,60.300000,82,75.500000,1060
2023/02/14 01:00:00+00,47.100000,44.800000,,43.300000,105.200000,140.900000,113.300000,75.100000,113.300000,189.900000,112.500000,65.700000,53.800000,93.800000,34.700000,15.600000,0.500000,93.400000,127.900000,153.100000,54.500000,46.200000,11.500000,8.300000,27.900000,118.800000,71.400000,42.300000,35.900000,17.800000,0,0.100000,112.900000,46.700000,53.300000,59,6,73.500000,108.500000,49.100000,1061
2023/02/14 02:00:00+00,26.100000,31.300000,,38.900000,135.300000,150.400000,65.900000,117.700000,96.500000,127.300000,111.200000,108.200000,55.600000,79.200000,98.800000,110.900000,0.100000,61,121,131.100000,33.100000,44.500000,14.500000,7.400000,28.500000,97.900000,78.500000,58.800000,60.600000,23.100000,0,0.400000,85.300000,41.900000,35.400000,34.700000,10.100000,31.900000,130.100000,35.900000,1062
2023/02/14 03:00:00+00,27.900000,34.400000,,43.500000,138,162.200000,61.700000,139.700000,116.800000,92,106.700000,100.600000,54.600000,57,55,142.600000,0.100000,72.900000,88.900000,90.300000,34.800000,36.300000,9.500000,7.400000,31.100000,96.300000,57.500000,74.600000,97.900000,24.300000,0,0.800000,67.100000,33.300000,55.100000,22.500000,15.600000,56.200000,166.500000,15,1063
2023/02/14 04:00:00+00,36.400000,36.900000,,35.800000,221.700000,183.200000,89.900000,93,91.700000,114.800000,108.100000,91.400000,57.200000,56.800000,27.500000,128.500000,0.400000,62.900000,92.800000,74.100000,29.100000,29.700000,12.400000,6.500000,32.500000,145.100000,64.200000,73.600000,59.100000,33.500000,0,0.600000,59,22,33.700000,11.700000,15.200000,86.600000,140.700000,29.200000,1064
2023/02/14 05:00:00+00,45.900000,40.200000,,52,383.900000,219.900000,110.400000,82.600000,243,142.300000,154.300000,111.200000,68.200000,87.200000,26.200000,107.800000,0.100000,63.500000,84,79.200000,54.400000,41.500000,34.100000,6.200000,22.400000,152.600000,76.500000,43.900000,61.700000,150.600000,0,0.800000,56.300000,22.900000,58.900000,18.200000,8.100000,96.500000,187.500000,27,1065
2023/02/14 06:00:00+00,66.800000,102.200000,,96.700000,464.700000,305.300000,134.400000,100.600000,388.900000,202.200000,166.800000,120.100000,85.100000,150.800000,49.300000,144.500000,0.400000,85.400000,94.700000,115.100000,64,73.400000,55.600000,11.200000,32.900000,132.700000,107.900000,60,72.100000,165.100000,1.600000,0.600000,82,47.900000,113,49.500000,19.400000,66.500000,192.700000,49.700000,1066
2023/02/14 07:00:00+00,118.200000,162,,182.900000,497.800000,305.200000,228.200000,203,382.700000,249.400000,227.500000,159.600000,169.100000,245.400000,134.900000,168.300000,0.300000,170.100000,93.500000,143.100000,92.100000,129.300000,73.200000,17.400000,35.600000,169.100000,177.100000,133.300000,107.800000,292.400000,2.200000,0.400000,136.200000,80.100000,176,87.200000,63.200000,35.800000,288.200000,147,1067
2023/02/14 08:00:00+00,169.900000,207.500000,,262.600000,477.200000,263.500000,250.500000,296.500000,376,290.600000,361,171.400000,242.900000,284.200000,121.100000,220.900000,0.200000,245.600000,215.800000,184.200000,132.900000,192.400000,90.900000,38.400000,61.800000,177.200000,252.100000,197.500000,165.200000,223,14.500000,0.700000,170.500000,101.800000,215.400000,189.400000,78.200000,56.300000,343,188.400000,1068
2023/02/14 09:00:00+00,176.900000,210.800000,,221.400000,391.500000,314.200000,298.400000,306,352.800000,308,412.900000,239.800000,241.500000,217.200000,135.300000,256.900000,0.500000,238,194.600000,180.900000,145.300000,156.100000,106.900000,64.900000,81,235,250.100000,159.200000,149.200000,414.400000,8.600000,2.600000,186.700000,96.300000,212.200000,198.400000,126.600000,57.800000,424.500000,167.900000,1069
2023/02/14 10:00:00+00,122.300000,154.700000,,179,226.200000,283.600000,188.700000,282.700000,289.600000,344.300000,354.100000,189.400000,243.700000,190.300000,127,262.500000,0.100000,163.700000,82.200000,229.300000,109.800000,80.700000,106.500000,41.200000,61.900000,288.200000,164.700000,174.900000,136.300000,240.200000,6.900000,7.600000,181.500000,90.900000,177.800000,,119,26.100000,332,142.800000,1070
2023/02/14 11:00:00+00,96.500000,113.900000,,,215.800000,175,154.900000,149.500000,255.500000,334.600000,189.400000,91.500000,133.700000,151.800000,77,221.100000,0.300000,74,37.600000,,52.300000,40.800000,112.400000,24.200000,48.200000,68.100000,83.100000,166.100000,79.600000,89.600000,3.500000,5.400000,212.400000,69.600000,157.300000,,75.400000,,187.900000,204.700000,1071
2023/02/14 12:00:00+00,93.700000,114.900000,,155.100000,135.900000,162,155,71.800000,162.800000,179.100000,80.800000,37.200000,108.500000,121.100000,32.100000,23.500000,1.500000,60.600000,46.600000,,15.400000,30.100000,104.200000,12.300000,34.800000,34.300000,32.900000,130.500000,41.300000,52.800000,1.200000,2.800000,138.900000,33.600000,121.200000,27.400000,33,,150.900000,125.500000,1072
2023/02/14 13:00:00+00,65.100000,78.200000,,100.800000,156.300000,124.800000,121.400000,47.500000,102.800000,108,82.700000,34.100000,94.300000,97.100000,18.800000,26.200000,8.400000,67.300000,20.200000,64.600000,20.200000,2.600000,92.800000,3.800000,9.700000,25.800000,14.800000,84.700000,34.700000,28.200000,0.600000,2.500000,52.500000,18.300000,134.400000,26.400000,52.200000,,112,11.900000,1073
2023/02/14 14:00:00+00,30.500000,49.300000,,82.900000,89.300000,73.800000,,22.100000,79,100.300000,65.300000,28,,56.700000,5.900000,,5.300000,44.800000,12.700000,23.900000,15.300000,1.200000,58.800000,2.300000,9.100000,13.700000,7.500000,43.100000,24.700000,41.800000,0.600000,2.300000,35.500000,16.400000,109.800000,9.300000,32.500000,,72,9.700000,1074
2023/02/14 15:00:00+00,25.200000,61.700000,,97.800000,100.900000,142,,12.700000,68.400000,72.100000,92.100000,22.300000,,62.200000,3.900000,,10.700000,50.500000,8.300000,29.300000,14.100000,0.700000,33.600000,1.500000,9.300000,16.600000,7,28.700000,15.800000,20.600000,0.300000,2.900000,25.400000,8.200000,108.400000,7.200000,16.400000,,73.400000,7.400000,1075
2023/02/14 16:00:00+00,18.900000,42.800000,,96.200000,79.800000,158.200000,28.500000,7.300000,80.400000,68.900000,125.200000,9.400000,79.600000,68.300000,3.700000,,10.100000,55.300000,4.300000,21.400000,11.400000,1,50.600000,1.300000,4.600000,15.400000,8.300000,7.900000,9,13.200000,0.300000,1.500000,15.500000,2.900000,72.300000,8.200000,6.600000,,65.400000,7.400000,1076
2023/02/14 17:00:00+00,4.400000,141.600000,,81.500000,140.600000,208.600000,25,5.400000,86.100000,117.100000,173.700000,13.400000,118.900000,171,2.300000,51.100000,4.800000,117.800000,2.400000,27.600000,8.800000,2.200000,32.300000,1.200000,4.200000,21.600000,6.900000,9.100000,6,13.300000,0.200000,0.900000,10.900000,5.200000,72.100000,6.800000,6.400000,1.300000,106.700000,7.500000,1077
2023/02/14 18:00:00+00,17.800000,178,,103,289.600000,269.700000,31.300000,13.100000,368,154.900000,252.700000,40.300000,159.900000,218.300000,31,58,1.300000,112.700000,2,30,32.500000,17.700000,71.200000,1.100000,4.600000,47.900000,29.100000,10.600000,23.900000,28.300000,0.200000,0.800000,22.600000,18.500000,73.300000,63.600000,4.700000,2.500000,169.400000,81,1078
2023/02/14 19:00:00+00,15.700000,237.300000,,132.800000,427.600000,298.700000,25.600000,63.100000,437.400000,188,197.900000,81.400000,129.700000,221.300000,54.500000,36.200000,0.700000,194.400000,2,68.800000,32.100000,121.700000,174.700000,7.800000,7.900000,72.400000,54.700000,55.100000,33.900000,47.700000,0.100000,1.100000,51.200000,90.100000,93.900000,123.500000,5.900000,2.600000,96.900000,209.100000,1079
2023/02/14 20:00:00+00,34.100000,220.200000,,125.300000,401.600000,347.200000,26.800000,116,491.100000,230.700000,183.300000,171.300000,120.800000,201.700000,81.200000,91.600000,0,206,2,155.500000,43.100000,138.500000,280.900000,24.700000,76.800000,160.300000,95.300000,56.300000,5.100000,124.700000,0.100000,0.400000,96.500000,118,71.400000,105.700000,7.200000,19.600000,261.700000,152.600000,1080
2023/02/14 21:00:00+00,4.600000,151,,45.700000,153.600000,285.900000,50.400000,140.400000,449.900000,241.400000,111.400000,145.800000,81.400000,165.300000,98.300000,68.300000,0.300000,117.900000,1.500000,136.900000,56.200000,84.900000,201,47.200000,56.400000,52.400000,10,33.800000,4,60.700000,0.100000,0.800000,106.500000,122.600000,66.200000,36.900000,5.200000,7.500000,151.600000,144.600000,1081
2023/02/14 22:00:00+00,7.600000,123.400000,,39.100000,159.600000,242.500000,47.900000,99.600000,335.800000,222,115.300000,196.700000,48.500000,289.200000,60.800000,58.600000,0.200000,122.300000,2.200000,121.500000,65.200000,48.700000,128.800000,19,34.100000,50.600000,87.500000,36.300000,7.600000,36.700000,0,0.800000,105,80.200000,59.300000,30.200000,5.100000,12.600000,165.300000,112.700000,1082
2023/02/14 23:00:00+00,4.300000,76.600000,,54.500000,224.600000,238.700000,21.600000,163.600000,240.500000,201,171.500000,175.800000,70.400000,197.300000,87.800000,158.500000,0.200000,105,2.400000,83.100000,38.600000,41.500000,105.800000,7.900000,25.700000,138,201.600000,28.200000,44.400000,157.800000,0,1.100000,51.500000,68.700000,54.200000,24.300000,40.200000,20.900000,196,104,1083
2023/02/15 00:00:00+00,4.800000,81.800000,,86.500000,179.300000,304.100000,61,81.900000,295.300000,130.600000,238.300000,209.400000,102.700000,193.100000,107.900000,190.400000,0.100000,126.400000,26,55.600000,16,29.100000,94.900000,7.800000,14.700000,200.300000,142.100000,36.300000,108.100000,142.700000,0,1.200000,66.800000,46.200000,98.200000,33.300000,166.100000,24.600000,150.400000,65.100000,1084
2023/02/15 01:00:00+00,124.200000,81,,158.100000,83.200000,259.500000,44.400000,62.100000,218.300000,95.200000,189.100000,144.500000,79.500000,189.300000,96.600000,123.100000,0.200000,113.100000,20.600000,90.700000,31.200000,19.100000,74.800000,15.500000,24.300000,204.400000,135.100000,74.800000,119.600000,105.600000,0.100000,1,81.400000,40,159.300000,72.100000,139.800000,7.400000,136.500000,29.800000,1085
2023/02/15 02:00:00+00,83.800000,35.900000,,118.700000,142.700000,165.300000,22.700000,87.700000,217.200000,87.700000,63.900000,130,58.900000,191.700000,38.600000,151.300000,0.200000,175.300000,23.700000,73.400000,35.800000,34.800000,65.100000,15.100000,34.300000,237.700000,99.800000,84.900000,111.100000,70.100000,0.100000,1.100000,60.800000,92.600000,134.400000,23.400000,25.500000,12.500000,148,20.400000,1086
2023/02/15 03:00:00+00,78.300000,34.200000,,73.600000,145.900000,195.800000,19.100000,97.500000,162.200000,116,64.700000,141.300000,64.800000,125.600000,40.700000,108.400000,0.100000,132.800000,73,72.800000,22.200000,59.800000,54.600000,9.700000,44,164,52.100000,84.200000,88,100.900000,0,0.800000,62.500000,78.300000,69,16.300000,34.800000,12.200000,117.500000,17.400000,1087
2023/02/15 04:00:00+00,40.400000,32.900000,,40.300000,210.900000,207.700000,53.100000,97,183.600000,135.200000,89,120.700000,71.100000,127,33.700000,64.300000,0.400000,79.400000,97.600000,71.400000,27.800000,42.100000,50.900000,9.400000,47.900000,118,36.300000,80.300000,101,113.200000,0,1,57.400000,54.600000,33.200000,10.600000,24.600000,21.600000,148.300000,13.700000,1088
2023/02/15 05:00:00+00,50,80,,60.400000,328.400000,261.100000,150.100000,127.900000,295.800000,183.900000,182.100000,145.500000,86.200000,131.800000,32,67,0.300000,86.500000,78.500000,87.600000,45.100000,39.400000,50.100000,12.600000,58.400000,138.200000,31.500000,120.800000,56.800000,110.600000,0,0.800000,60.300000,50.500000,60.800000,19.100000,17.400000,29.100000,156.200000,22.600000,1089
2023/02/15 06:00:00+00,42.400000,137.400000,,94.300000,414.300000,346.600000,148.400000,153.900000,409.900000,299.200000,222.200000,138.700000,63.100000,114.800000,71.500000,104.700000,0.200000,112.200000,123.100000,160.400000,71.700000,71.600000,55.200000,31.900000,71,186.900000,45.900000,129.700000,36.600000,38.300000,0,0.900000,95.400000,53.800000,91.100000,92.900000,30.900000,65.200000,190.400000,48.600000,1090
2023/02/15 07:00:00+00,46,197.100000,,118.900000,408.300000,375,202.300000,200.900000,323,340.800000,229,167.100000,118.300000,121.400000,48.900000,139.500000,0,114.300000,111.300000,191.900000,85.500000,89.900000,74.400000,45.800000,102.200000,199,58.700000,105.400000,66.400000,53.500000,2,0.400000,156.300000,98.400000,149.300000,77.400000,66.600000,90.200000,218.100000,78,1091
2023/02/15 08:00:00+00,96.300000,219,,169.100000,443.300000,287.100000,226.700000,147.200000,349.300000,421.600000,263.200000,158.600000,177.300000,158.100000,84.200000,187.900000,0.200000,152.600000,115.400000,241.900000,144.300000,65.300000,100.100000,85.100000,145.900000,160.200000,88.300000,86.900000,147.100000,80.500000,17.700000,1.600000,208.900000,128.900000,190.900000,309.700000,103.300000,128.800000,215.900000,127.200000,1092
2023/02/15 09:00:00+00,145.300000,200.600000,,197.900000,329.500000,300.700000,318.100000,78.400000,295,465.600000,224.700000,70.500000,199.500000,198.600000,62.100000,120.600000,0.400000,170.900000,55.600000,260.600000,190.500000,44.400000,120.800000,103.200000,122.700000,174.200000,91.900000,96.700000,160.800000,115.900000,4.100000,13.700000,261.100000,151.700000,205.500000,78.200000,104.300000,194.700000,180.400000,147.500000,1093
2023/02/15 10:00:00+00,158.900000,165.100000,,218.100000,360,247.600000,223.600000,104.900000,236.900000,417.400000,209.300000,89.300000,213.500000,192,41.900000,241.700000,0.500000,190,24.400000,293.200000,152.800000,34.500000,77.700000,70.700000,75.600000,95.400000,108.600000,110.400000,170.500000,145.200000,2.100000,10.500000,217.700000,113.900000,226.200000,40.700000,52,190.600000,213.700000,135.400000,1094
2023/02/15 11:00:00+00,174.100000,118,,238.700000,258.100000,234.600000,167.200000,116.900000,209.800000,306,209.900000,104.300000,215.100000,227.700000,36.500000,183.200000,0.200000,221.200000,20.400000,272.300000,135.900000,25.200000,97.900000,54,32.100000,141.600000,111,124.100000,183,150.100000,1.500000,10.700000,180.500000,78.100000,259,24.600000,49,120.100000,209.600000,127.200000,1095
