,PA15L:NO,ARG:NO,OPERA:NO,RN20:NO,BP_EST:NO,AUB:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,IVRY:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,RN6:NO,AUT:NO,SOULT:NO,OBJECTID
,Paris stade Lenglen,ARGENTEUIL,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,AUBERVILLIERS,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,IVRY-SUR-SEINE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Route Nationale 6 - MELUN,Boulevard Péripherique Auteuil,Boulevard Soult,0
,PA15L,ARG,OPERA,RN20,BP_EST,AUB,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,IVRY,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,AUT,SOULT,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2018/11/08 12:00:00+00,,16.500000,139,175.200000,185.100000,11.900000,119.300000,,11.200000,60.400000,91.900000,4.900000,19.800000,14.500000,59.300000,6,23.700000,,,2.200000,7.700000,,4.300000,22,12.100000,11.800000,6.900000,20.200000,,0.300000,16.500000,7.500000,84,5.500000,5.900000,5.900000,126.300000,125.300000,117,16.100000,7480
2018/11/08 13:00:00+00,,13.600000,140.900000,118.500000,152.700000,9.600000,132.800000,,8.100000,49.200000,95.500000,2.800000,16.400000,8.800000,44.300000,5.900000,16,,,1.700000,7.100000,1.600000,4.600000,15.400000,9.600000,10.400000,6,14.800000,,0.300000,12,5.200000,81.400000,4.800000,5,4.900000,99.100000,75.500000,114.800000,17.300000,7481
2018/11/08 14:00:00+00,,8.500000,134.300000,95.700000,132.500000,4.700000,,,4.600000,34.700000,99.200000,2.200000,10.100000,6.900000,49,,12.200000,,,1.500000,8.500000,1.800000,3.500000,12.100000,4.800000,5.400000,4.800000,8.200000,,0.300000,6.400000,5.300000,91.800000,6.200000,3.200000,3.900000,119.100000,80.500000,113.900000,6.400000,7482
2018/11/08 15:00:00+00,,3.900000,117.200000,96.400000,,3,88.400000,,4.500000,39.900000,116.800000,1.600000,8.200000,3,40.100000,2,7.200000,,,0.900000,7.800000,1.200000,2.600000,10.200000,4.300000,2.700000,2.400000,4.400000,,0.100000,4.500000,4.200000,64.200000,4.100000,2.100000,2.100000,95,61.400000,102.500000,5.900000,7483
2018/11/08 16:00:00+00,,4.100000,125.100000,138.600000,170.200000,3,87.100000,,2.500000,33.900000,120,2.900000,6.300000,1.200000,25.900000,2,6.100000,2.100000,,0.900000,7.800000,1.200000,2.900000,4.800000,1.600000,2,1.500000,4.700000,,0.200000,2.700000,2.700000,68,2.600000,2.100000,0.800000,74.200000,110.700000,78.500000,6.100000,7484
2018/11/08 17:00:00+00,,4.400000,100.900000,186.800000,,2.100000,80.700000,,2.400000,33,160.600000,1.100000,6.600000,0.500000,34.200000,1.600000,6.700000,,,1,16.400000,1,8.600000,7.900000,1.800000,2,2.200000,5.200000,,0,5.500000,4.300000,63.400000,2.900000,3.200000,0.800000,70.600000,143.400000,80.100000,7.500000,7485
2018/11/08 18:00:00+00,,3.900000,116,158.800000,148,3.600000,70.600000,,2.400000,,116.100000,2.300000,7.100000,0.600000,30.200000,1.500000,6.400000,2.800000,,0.400000,15.900000,0.800000,9.400000,8.500000,1.500000,2.300000,0.300000,4.700000,,0,5.400000,4.400000,52.800000,3.600000,2,0.900000,74.500000,163.300000,79.200000,8,7486
2018/11/08 19:00:00+00,,1.800000,112.500000,99.300000,135.600000,2.100000,63.400000,,1.700000,,97.300000,0.400000,6.600000,0.700000,36.100000,0.900000,4.400000,2,,0,7.300000,0.600000,4.500000,8.700000,1.400000,1.800000,1.500000,4.700000,,0,3.300000,4,62.500000,3.300000,2.700000,0.700000,53.300000,147,63.700000,7.700000,7487
2018/11/08 20:00:00+00,,5,81.500000,80.600000,129.900000,2.200000,79.400000,,2,,78.800000,1,5.500000,1.200000,32.300000,0.700000,4.600000,2.600000,,0,7.300000,0.600000,5.700000,9.900000,1.700000,1.900000,1.200000,4.500000,,0,4.300000,5.700000,48.300000,1.700000,2.100000,0.300000,45.900000,161.300000,66.200000,8.300000,7488
2018/11/08 21:00:00+00,,5,83.100000,113.200000,113.700000,2,54.700000,,1.800000,,70.600000,0.900000,4.700000,0.900000,20.800000,0.900000,4.900000,1.300000,,0.100000,7.500000,0.600000,5.400000,8.100000,1.500000,1.500000,0.300000,5,,0,4.800000,5.400000,67.500000,0.900000,2.300000,0.500000,71.100000,141.700000,65.300000,5.100000,7489
2018/11/08 22:00:00+00,,5.900000,100.900000,69.600000,137,2.100000,60.100000,,2.900000,,52.700000,3.300000,2.600000,0.600000,11.400000,1.300000,8.200000,3.300000,,0.400000,8.600000,0.700000,4.500000,8,1.400000,1.300000,0,3.100000,,0,4.400000,6.100000,94.100000,1,1,0.300000,55.200000,98.700000,42.900000,7.700000,7490
2018/11/08 23:00:00+00,,9.900000,64.800000,33.700000,128.900000,2.300000,70.700000,,3,,52,3.600000,3.100000,0.900000,14,0.900000,6.100000,11.400000,,0.500000,5.100000,0.700000,5.700000,10.500000,3.300000,2.100000,0,2.900000,,0,9.600000,4.700000,77.200000,2.200000,1.500000,0.500000,64.300000,82.100000,40.100000,7.900000,7491
2018/11/09 00:00:00+00,,3,61.100000,56.500000,95.500000,1,70.600000,,2.200000,,31.400000,1.400000,2.900000,0.400000,16.500000,1,9.600000,1.400000,,0,4.600000,0.900000,5.100000,10.400000,2.500000,2.200000,0,3.500000,,0,8.900000,3.300000,32.400000,0.300000,2.100000,0.800000,42.300000,64.600000,54.300000,10.700000,7492
2018/11/09 01:00:00+00,,3.900000,44,65.800000,94.300000,1.300000,74.900000,,2.200000,,53.200000,2.700000,0.600000,0.800000,6.900000,1,17.900000,0.700000,,0.200000,4.200000,0.500000,5,4.700000,0.900000,1.800000,0,2.600000,,0.100000,19.300000,3.500000,33.100000,0.200000,1.500000,0.700000,27.500000,38.800000,31.700000,8.200000,7493
2018/11/09 02:00:00+00,,10.900000,22.400000,83.900000,102.800000,4.500000,98.900000,,1.900000,,17.900000,1.600000,0.500000,0.900000,6.700000,1.100000,26.900000,0.800000,,0,6.300000,0.700000,5.100000,2.900000,0.800000,3.600000,0,3,,0.200000,18.400000,6,21.900000,0.500000,0.700000,0.800000,49.500000,26.800000,27.200000,13.100000,7494
2018/11/09 03:00:00+00,,8.700000,17.500000,109.500000,104.200000,1.800000,91.300000,,1.500000,,16,0.800000,0.500000,0.900000,4.100000,0.700000,3.700000,1.500000,,0,6.600000,0.600000,6.800000,2.400000,2.300000,3,0,3.200000,,0,20.900000,8.300000,12,0.400000,0.600000,0.500000,39.100000,34.700000,41.100000,10.300000,7495
2018/11/09 04:00:00+00,,3.200000,15,206,159,3.400000,154.700000,,1.500000,,19.600000,1.500000,1,0.300000,8.100000,1,2.200000,4.100000,,0.500000,6.100000,0.800000,6.800000,3.300000,1.100000,4.200000,0.100000,3.100000,,0,9.300000,3.900000,15.100000,0.400000,1,1,75.600000,35.800000,29.800000,18.300000,7496
2018/11/09 05:00:00+00,,6.800000,24.300000,315.100000,263.200000,11,244.200000,,7.200000,,50.900000,1.900000,2.200000,0.700000,3.400000,1.500000,6.200000,5.800000,,0.700000,13.900000,1.300000,9,7.900000,4.100000,11.500000,1,4.100000,,0,8.600000,26.900000,23.200000,0.500000,4.700000,17.400000,108.600000,119.100000,59.300000,38.900000,7497
2018/11/09 06:00:00+00,,42.800000,50.900000,364.700000,327.300000,29.900000,243.200000,,26.600000,,90.800000,11.100000,16,0.400000,16.300000,5.300000,27.400000,44.600000,,3,20.400000,5.400000,18.900000,25.400000,12.500000,30.400000,7.600000,15.400000,,0,39.200000,41,56.300000,1.200000,27,29.200000,96.700000,167.800000,94.400000,53.500000,7498
2018/11/09 07:00:00+00,,91.100000,144.800000,446.100000,403.600000,49.900000,399,,75.900000,,163.300000,21.800000,48.500000,0.600000,70.900000,8.300000,79.200000,76,,5.800000,56.200000,46,34.800000,46.500000,30.800000,63.200000,30.600000,45.700000,,0,72.100000,60.500000,138.700000,8,46.700000,25.600000,186.800000,297.100000,125.300000,114.900000,7499
2018/11/09 08:00:00+00,,70.100000,227,485.500000,448.500000,56.600000,390.400000,,53.500000,,163.400000,24.600000,64.200000,0.800000,134.800000,43.300000,54.300000,151.300000,,11.100000,62.600000,62.800000,60.900000,70.100000,68.800000,87,35.900000,62.900000,,0.200000,101.400000,60.500000,159.300000,18.500000,54.700000,58.400000,229.100000,353.800000,127.700000,117.500000,7500
2018/11/09 09:00:00+00,,90.800000,234.100000,390.300000,397.900000,66.700000,330,,48.600000,,194.900000,14.600000,76.700000,2.600000,130.500000,21.200000,82.600000,112.500000,,10.800000,39.500000,30.200000,76.500000,71.400000,83,65.100000,65.200000,68.100000,,0.700000,80.400000,26,188.400000,18.800000,35.400000,50.800000,212.400000,214.600000,144.800000,103.500000,7501
2018/11/09 10:00:00+00,,61.700000,204.300000,266.700000,237.400000,59.700000,323.500000,,44.200000,,148.900000,13.900000,70,7.200000,142.500000,19.500000,75,65.500000,,8.700000,26.500000,12.500000,39.700000,79.300000,81.800000,69.400000,49.100000,,,2.600000,74.900000,20.400000,174.200000,22.800000,27.500000,32.600000,200.900000,136.500000,165.700000,85.700000,7502
2018/11/09 11:00:00+00,,48.700000,215.500000,264.900000,218,50,277.500000,,37,,194.500000,18.300000,61.800000,6.600000,115.900000,20.900000,60.800000,50.400000,,7.500000,17.800000,9.100000,13.200000,60.500000,52.100000,46.400000,43.400000,,,4.700000,59.700000,26.400000,169.700000,10.600000,30.400000,35.300000,176,107.700000,130.400000,55.600000,7503
2018/11/09 12:00:00+00,,32.300000,171.800000,195.100000,200.500000,37.100000,260.500000,,27.600000,,104,16.100000,31.500000,11.400000,80.700000,15.700000,35.600000,32.900000,,8.900000,8.900000,9,14.100000,35.700000,21.500000,34.300000,30.600000,39.900000,,2.300000,50.600000,18,118.400000,6,23.800000,24,122.900000,109,129.800000,33.900000,7504
2018/11/09 13:00:00+00,,9.300000,165.200000,173.400000,209.800000,21,169.900000,,14.900000,,58.200000,11.600000,12.200000,9.300000,58.900000,9.400000,21.200000,18.400000,,8.900000,11.400000,7.500000,8.600000,21.400000,15.900000,20,13.800000,16.800000,1.200000,1.200000,25.800000,11.700000,81.100000,3.500000,15.600000,10.900000,120.900000,78.800000,119.900000,31.600000,7505
2018/11/09 14:00:00+00,,10.400000,163.800000,167.400000,186.100000,16.400000,183.100000,,13.200000,,79.600000,6.700000,9.300000,5.800000,71.300000,8.500000,10.300000,13.900000,,4.800000,8.900000,6.200000,5,12.700000,7.200000,14.600000,12.800000,11.900000,1.100000,0.800000,16.600000,8.900000,84.900000,2.300000,10.800000,9.200000,115.200000,82.600000,104.700000,19.400000,7506
2018/11/09 15:00:00+00,,7.700000,130.200000,144.300000,174.500000,9.900000,188.200000,,8,,30,6.100000,6.900000,2.800000,44.200000,6.900000,2.800000,9.100000,,3.200000,8.800000,7,3.800000,7.800000,5.500000,8.600000,4.100000,4.600000,0.400000,0.600000,6.300000,5.600000,54.300000,1.300000,10.300000,3,104.800000,128.100000,94.700000,22.600000,7507
2018/11/09 16:00:00+00,,7.300000,143.500000,192.100000,185.600000,5.300000,184.700000,,5.700000,,44.700000,6,8.800000,1.300000,45,7,2.700000,3.700000,,3.100000,8.500000,11.900000,3.100000,7.300000,2.500000,7.700000,3.400000,3.500000,0.400000,0.100000,5.600000,5,59.400000,1.800000,8.700000,2.100000,99.900000,127.900000,93.700000,36.500000,7508
2018/11/09 17:00:00+00,,8,154.500000,276,184.200000,6,162.500000,,3.400000,50.500000,57.700000,5.500000,11.300000,0.600000,51.500000,11,2.300000,3.200000,,2.700000,13,7.600000,8.200000,9.700000,2.300000,5.800000,6.900000,3.800000,0.300000,0,6.200000,3.800000,73.400000,1.100000,15.500000,1.900000,113.400000,247.300000,112.800000,28.800000,7509
2018/11/09 18:00:00+00,,15,202.400000,352.600000,267.300000,9.800000,197.100000,,7.900000,71.800000,76.800000,5.300000,12,0.600000,61.200000,10.300000,4.800000,3.900000,,2.900000,10.900000,8.900000,8.100000,12.500000,4.200000,10.600000,6.400000,6.500000,0.200000,0,7.700000,4.200000,109.200000,1.300000,25,7.300000,137.600000,216.600000,108.400000,29.900000,7510
2018/11/09 19:00:00+00,,5.100000,190.300000,256.500000,226.100000,13.100000,222.700000,,5.100000,56.700000,73.400000,3.200000,10.400000,1,56.400000,3.500000,8,7.200000,,0.700000,7.200000,6.200000,3.800000,15.400000,6.400000,14.400000,5.400000,13.300000,0.400000,0,11.300000,3.200000,79.900000,0.900000,12.400000,3.500000,149.100000,115.300000,73.400000,27.100000,7511
2018/11/09 20:00:00+00,,2.700000,149.700000,142.600000,160.600000,6.100000,170.600000,,1.900000,35.400000,62.900000,1.700000,5.300000,0.900000,27.800000,1.900000,2.800000,4.200000,,0.100000,6.200000,3,3.200000,7,2.900000,3.600000,1.600000,10.900000,0.200000,0,5.400000,2.800000,75.200000,0.600000,4.800000,3.600000,123.600000,64,63.300000,6.400000,7512
2018/11/09 21:00:00+00,,2.100000,110.500000,71.900000,147.400000,2.700000,155.200000,,1.900000,16.600000,46.800000,1.900000,2.800000,0.700000,39.900000,1.100000,1.300000,1.700000,,0,4.200000,1.500000,3.100000,4.100000,1.300000,3.100000,0.500000,6.700000,0.200000,0,2.300000,2,44.300000,0.100000,2.700000,1.700000,76.300000,35.500000,46.200000,8.800000,7513
2018/11/09 22:00:00+00,,1.500000,64.300000,49.500000,82.100000,1.100000,107.400000,,0.700000,10.300000,18.500000,0.900000,1.500000,0.700000,13.400000,0.700000,1.100000,1.200000,,0,2.500000,1,0.900000,3.100000,1,2.800000,0.300000,2.300000,0,0,1.800000,2.100000,32,0.100000,2,0.500000,40.200000,16.600000,34.200000,3,7514
2018/11/09 23:00:00+00,,0.600000,62.600000,37.900000,69.700000,0.300000,62,,0.500000,17.500000,8.800000,0.900000,0.900000,0.500000,13.400000,1,0.800000,0.600000,,0.200000,2.400000,0.500000,0.600000,2.600000,0.900000,4.200000,0,1.400000,0.100000,0,1.200000,2.200000,17.500000,0.100000,1.200000,0.100000,24.500000,10.800000,36.900000,2.700000,7515
2018/11/10 00:00:00+00,,0.700000,54,33.100000,52.400000,0.100000,58.900000,,0.200000,19,8.800000,0.900000,0.800000,0.400000,11.400000,0.800000,0.700000,0.400000,,0.100000,2.100000,0.500000,0.400000,2.400000,0.700000,4.600000,0,1.400000,0.100000,0,0.900000,1.500000,17.700000,0,0.400000,0.100000,20.100000,7.900000,28.700000,2.500000,7516
2018/11/10 01:00:00+00,,0.200000,34.500000,22,38.100000,0,43,,0.400000,18.500000,6,0.400000,0.600000,0.500000,10.200000,0.900000,0.500000,0.600000,,0.100000,1.800000,0.400000,0.500000,2.600000,0.500000,1.800000,0,1.200000,0.100000,0,0.500000,1.500000,16.600000,0,0.400000,0.200000,18.400000,4.400000,20.400000,2,7517
2018/11/10 02:00:00+00,,0.100000,30.300000,15.900000,30.800000,0,31.500000,,0.400000,7.500000,6.300000,0,0.100000,0.700000,9.800000,0.800000,0.400000,0.500000,,0,2.200000,0.300000,0.500000,2.100000,0.400000,1.400000,0,1.100000,0.100000,0,0.600000,1.500000,20.500000,0.100000,0.300000,0.100000,14.400000,6.100000,16.700000,3.900000,7518
2018/11/10 03:00:00+00,,0.200000,15.100000,16.500000,30,0,27.400000,,0.300000,12.300000,2.900000,0.100000,0,0.700000,6.200000,0.800000,0.300000,0.700000,,0,1.900000,0.500000,0.400000,2.300000,0.300000,1.700000,0,1,0,0,0.200000,1.400000,7.300000,0.100000,0.400000,0.100000,10.900000,3.700000,12.600000,2.400000,7519
2018/11/10 04:00:00+00,,0.300000,14.400000,22.400000,32.100000,0,48,,0.200000,6.300000,2.300000,0.500000,0,0.700000,4.900000,1,0.300000,0.500000,,0.200000,2,0.400000,0.300000,2.200000,0.200000,2,0,0.800000,0.200000,0,0.300000,1.400000,6.200000,0,0.700000,0,13,6.800000,14.700000,1.900000,7520
2018/11/10 05:00:00+00,,0.600000,10.200000,29.400000,40.800000,0,60.300000,,0.200000,3.200000,2.200000,0.600000,0.200000,0.600000,2.600000,0.900000,0.300000,0.800000,,0.700000,2.400000,0.600000,0.300000,2,0.400000,1.800000,0,0.800000,0.100000,0,0,1.600000,4.500000,0,1.200000,0.300000,15.400000,10.600000,17.300000,2.700000,7521
2018/11/10 06:00:00+00,,0.600000,18.600000,47.800000,53.400000,0.100000,75.100000,,0.200000,3.800000,3.300000,0.800000,0.900000,1,3.900000,1.200000,0.500000,0.600000,,0.100000,2.200000,0.700000,0.800000,2.400000,0.400000,2.100000,0.400000,0.900000,0.100000,0,0.100000,1.300000,7.800000,0.300000,0.900000,0.300000,18.200000,7.400000,30,3,7522
2018/11/10 07:00:00+00,,0.600000,31,55.400000,76.100000,0.500000,109.800000,,0.500000,17.400000,5.500000,1.300000,1.800000,1,7.800000,1.200000,0.600000,0.800000,,0.100000,2.600000,0.900000,0.700000,5.700000,0.600000,3.200000,0.700000,1.200000,0.100000,0,0.800000,1.400000,16.100000,0.100000,0.800000,0.400000,23.700000,22.100000,48.600000,2.800000,7523
2018/11/10 08:00:00+00,,2.300000,50.500000,102.400000,116.600000,1,106.200000,,0.600000,17,14.500000,1.200000,5.500000,0.600000,13.700000,1.200000,1,1.200000,,0,4.800000,0.800000,2.100000,5,0.800000,3.300000,0.800000,1.600000,0.200000,0,1.300000,1.800000,19.200000,0.200000,2.700000,0.600000,35.100000,22.200000,66.900000,6.900000,7524
2018/11/10 09:00:00+00,,4,84.400000,142.300000,120.200000,1.800000,118.500000,,0.700000,22.100000,13.300000,2,13.200000,1,25.500000,1.400000,1.500000,1.300000,,0.500000,6,1.100000,2.200000,6.600000,1.300000,3.600000,1.300000,2.400000,0.100000,0,2.500000,2.200000,28.900000,0.500000,3.500000,0.800000,55.900000,24.800000,82.500000,5.100000,7525
2018/11/10 10:00:00+00,,3.900000,84.600000,131.400000,121.900000,2.700000,129.300000,,1.900000,29.800000,16.900000,2.200000,3,0.900000,29.400000,1.700000,2.700000,1.500000,,0.100000,7.500000,1.900000,2,5.700000,2.100000,4,2.200000,3.200000,0.100000,0,2.800000,2.300000,33.400000,0.500000,3.200000,1.100000,59,30.500000,89.400000,6.400000,7526
2018/11/10 11:00:00+00,,5.300000,91.400000,117.700000,104,3.100000,136,,2.300000,31.700000,17.400000,2.200000,3.900000,1,22.100000,3.400000,3.200000,2.100000,,0.600000,7.300000,2.100000,2.600000,8,2.500000,6,2.500000,4.600000,0.300000,0,5.300000,2.600000,31.800000,0.700000,4.200000,,61.200000,38.700000,68.100000,10,7527
2018/11/10 12:00:00+00,,5.600000,99.300000,98.300000,103.900000,4.200000,122.200000,,2.700000,39.200000,15.800000,2.800000,2.700000,1.500000,33.900000,3.300000,2.100000,3.400000,,1.500000,8.900000,2.700000,2.100000,6.400000,2.900000,9.200000,3.700000,5.300000,0.400000,0,5,3.600000,37.600000,1,4.500000,2.400000,74,38.800000,128.500000,15.500000,7528
2018/11/10 13:00:00+00,,6.800000,92.600000,102.100000,60,2.500000,135,,1.900000,42.100000,23.100000,2.800000,3.400000,1.200000,32.800000,2.900000,1.900000,1.900000,,1.800000,8.300000,2.500000,1.900000,5.300000,2.700000,4.200000,1.900000,3.700000,0.100000,0.100000,2.700000,,37.400000,0.600000,3,1.700000,53.700000,34.600000,128.500000,12,7529
2018/11/10 14:00:00+00,,4.800000,105,130.500000,101.500000,3.200000,138.900000,,3.900000,64.700000,28.400000,4,4.900000,0.800000,39.200000,3.400000,2.600000,3,,1.100000,8.300000,2.800000,2.300000,6,2.900000,6.600000,3.700000,2.900000,0.200000,0.100000,3.700000,,62.500000,0.700000,4.400000,2.200000,82.800000,48.600000,79.600000,29.300000,7530
2018/11/10 15:00:00+00,,6,114.300000,111.800000,81.900000,8.100000,150.400000,,3.300000,54,26.300000,3.800000,5.200000,1.200000,41.900000,3.100000,3.200000,4.600000,,1.100000,9.500000,3.200000,2.900000,8.900000,2.600000,5.200000,3.500000,4.300000,0.200000,0,5.200000,4.900000,81.800000,1,2.800000,1.700000,133,45.300000,105.200000,27.800000,7531
2018/11/10 16:00:00+00,,5.400000,128.100000,124.700000,87.700000,4.500000,129.900000,,2.400000,47.900000,29.600000,2.900000,4.800000,0.700000,41.300000,2.800000,2.600000,3.100000,,0.500000,6,2.700000,1.900000,8.400000,1.800000,5.100000,3,2.600000,0.200000,0,3.200000,4.300000,61.300000,0.700000,5.800000,2,96.300000,36.600000,91.200000,27.500000,7532
2018/11/10 17:00:00+00,,4.700000,113.500000,99,104.400000,4.700000,151.800000,,1.800000,244,20.800000,2,4.900000,0.800000,31.400000,2.700000,1.700000,1.500000,,0.800000,5.300000,1.800000,1.700000,6.200000,2.400000,6.500000,3.100000,2.200000,0.100000,0,3.800000,3.800000,48.400000,0.300000,3.800000,0.800000,91.500000,39.800000,82.600000,14.200000,7533
2018/11/10 18:00:00+00,,3.600000,107.600000,112.600000,90.200000,3.200000,153.500000,,1.400000,390.600000,15.400000,2.500000,3.700000,0.400000,42.900000,2.500000,1.200000,1.400000,,0,7.200000,1.500000,1.500000,5,1.400000,4.800000,1.800000,2.400000,0.100000,0,3.600000,2.900000,45.100000,0.300000,3.400000,0.600000,73.800000,42.200000,71.200000,15,7534
2018/11/10 19:00:00+00,,3,81.100000,92.800000,90.400000,2.200000,118.700000,,1.100000,337.200000,18.200000,1.500000,3.400000,0.800000,31.800000,2.100000,1.400000,1,,0,4.400000,1.600000,1.800000,5.800000,1.100000,4.500000,1.400000,1.900000,0.100000,0,2,2.800000,33.600000,0.100000,3.900000,1,74.100000,40.100000,63.600000,12,7535
2018/11/10 20:00:00+00,,2.200000,90.200000,65.100000,84.800000,1.300000,125.200000,,0.800000,211.100000,14.800000,1.300000,2.200000,0.700000,25.300000,1.400000,1.300000,1.100000,,0.500000,3.700000,1.400000,1.300000,4.700000,1.200000,3.300000,1.200000,1.800000,0.100000,0,3,2.300000,27.600000,0.100000,2.800000,0.500000,61.100000,31.100000,52.800000,8.200000,7536
2018/11/10 21:00:00+00,,1.500000,64.500000,40.500000,74.500000,0.900000,119.500000,,0.500000,112.500000,16.300000,1.100000,1.500000,0.500000,25.500000,1.400000,0.900000,0.600000,,0.200000,3.100000,0.900000,1,3.900000,0.800000,3.300000,0.600000,1.700000,0,0,2.900000,1.800000,23.400000,0.100000,1.700000,0.400000,56.700000,15.400000,46.500000,4.300000,7537
2018/11/10 22:00:00+00,,1,83.100000,33.200000,68.200000,0.400000,112,,0.400000,12.900000,11.100000,0.200000,1.200000,0.600000,17.500000,1.200000,0.700000,0.800000,,0.300000,3.200000,0.800000,0.500000,3.300000,0.800000,2.900000,0,1.500000,0,0,2.300000,1.800000,19.900000,0,0.800000,0.500000,43.200000,14,38.400000,3.700000,7538
2018/11/10 23:00:00+00,,0.900000,59.800000,33.100000,61.700000,0.200000,143.200000,,0.400000,25.200000,12.100000,0.400000,0.700000,0.800000,17.700000,0.900000,0.500000,0.700000,,0,3.100000,0.500000,0.600000,3.700000,0.600000,2.900000,0,1.600000,0,0,2.500000,1.900000,21.800000,0.100000,0.600000,0.300000,33.900000,9.900000,35.200000,3.500000,7539
2018/11/11 00:00:00+00,,0.500000,56.500000,33.300000,66.300000,0.100000,120.700000,,0.400000,31.100000,14.100000,1.200000,0.700000,0.500000,10.100000,1,0.500000,0.800000,,0,4.900000,0.400000,0.500000,3,0.700000,1.900000,0,1.400000,0.100000,0,2.700000,1.800000,24.500000,0.100000,1.100000,0.100000,30.100000,5.700000,41.600000,2.500000,7540
2018/11/11 01:00:00+00,,0.400000,29.600000,22.700000,42,0,94.800000,,0.200000,20.700000,8,0.400000,0.200000,0.800000,13.800000,0.700000,0.500000,0.500000,,0.100000,2.500000,0.500000,0.400000,3.100000,0.500000,2.600000,0,1.100000,0.100000,0,1.400000,1.600000,11.400000,0.100000,0.400000,0.100000,22.800000,3.800000,23.700000,3,7541
2018/11/11 02:00:00+00,,0.600000,35.900000,17.100000,28.900000,0,62.400000,,0.200000,17.700000,7.200000,0.300000,0,0.700000,4.900000,0.900000,0.500000,0.500000,,0,2.500000,0.200000,0.500000,2.500000,0.300000,3.500000,0,1.200000,0.100000,0,0.100000,1.500000,19.100000,0,0.200000,0.300000,17,3.300000,22.600000,4,7542
2018/11/11 03:00:00+00,,0.300000,29.900000,13.400000,25.900000,0,57.400000,,0.100000,14.100000,5.100000,0.400000,0,1.100000,4.200000,0.700000,0.600000,1.100000,,0,,0.200000,0.500000,2.300000,0.400000,1.400000,0,1,0,0,0.200000,1.700000,18.500000,0,0.500000,0.300000,13.900000,3.600000,15.800000,2.200000,7543
2018/11/11 04:00:00+00,,0,21.500000,19.400000,26.900000,0,55,,0.300000,12.500000,4.500000,0.700000,0,0.400000,8,0.700000,0.500000,0.600000,,0,2.400000,0,0.800000,2.800000,0.400000,1.200000,0,1.200000,0,0,0.100000,1.500000,15.700000,0,0.200000,0,13.900000,2.700000,14,1.400000,7544
